FID;Naiset;Miehet;Ko_perus;Ko_yliop;Ko_ammat;Ko_al_kork;Ko_yl_kork;Tp_tyopy;Ra_pt_as;Ra_kt_as;Ra_muu_as;Pt_tyoll;Pt_tyott;Viipyma_arki;Viipyma_vkl;AC_laturit;DC_laturit;count_Acc_First;count_Business_First;count_Eat_First;count_Gov_First;count_Health_First;count_Leisure_First;count_Shop1_First;count_Shop2_First;count_Sport_First;count_Tourism_First;count_Trans_First;KAC_First;KDC_First;Kvl2_First;Hr_mtu_First;Kika2_First;Te_takk2_First;Pistokkeet
1;170;170;79;25;82;65;38;75;11;166;4;168;28;2612;1803;2;0;3;12;9;14;8;6;0;38;1;1;18;62;21;18800;24843;39,37;1,97;2
2;33;32;21;4;19;12;5;35;8;70;3;25;4;271;0;2;0;12;17;30;9;8;10;0;43;1;10;12;14;1;;21098;54,17;1,51;2
3;188;163;87;19;100;66;29;125;13;217;2;146;20;1714;1020;2;0;3;28;47;13;13;11;1;129;3;2;52;31;9;4680;23566;46,77;1,66;2
5;78;73;36;15;39;42;29;901;3;99;2;85;11;5742;1328;2;0;2;33;17;4;5;5;0;78;4;0;22;88;3;32600;24379;40,23;1,83;2
6;32;29;16;3;23;10;3;22;12;24;2;27;4;2472;1590;2;0;0;4;10;6;7;2;0;27;2;1;17;6;0;6090;23895;41,65;1,79;2
7;13;13;5;1;8;7;2;36;6;7;0;14;1;908;672;0;2;0;6;1;1;0;0;0;3;0;0;6;0;0;10697;31048;39;2,11;2
8;51;46;18;3;35;17;6;17;33;21;0;47;3;747;474;2;0;1;0;7;7;0;0;0;12;1;2;6;25;6;9583;24649;41,82;2,01;2
9;131;98;70;11;78;47;17;183;8;158;5;78;11;1479;270;2;0;4;22;57;12;15;7;3;114;2;6;16;14;1;13713;20533;54,46;1,48;2
10;87;85;38;9;42;31;19;90;23;82;1;81;10;2056;1220;2;0;1;10;5;8;8;1;0;32;1;0;33;30;4;21906;25285;41,74;1,9;2
11;9;8;3;2;7;6;5;3;5;4;0;15;1;1285;849;2;0;0;0;1;3;0;0;0;0;0;0;7;14;0;10540;27825;39,88;1,8;2
12;67;50;37;4;45;16;6;80;19;65;4;47;5;1015;699;2;0;2;16;24;9;16;1;0;56;3;2;19;27;6;9583;20756;50,19;1,5;2
13;17;16;10;3;10;9;3;29;5;42;3;11;2;587;480;2;0;8;11;27;4;5;10;0;33;1;8;4;13;1;;22829;59,18;1,53;2
14;119;98;40;25;47;44;49;108;13;141;1;121;15;467;114;2;0;0;13;19;6;3;0;0;59;1;0;35;48;9;34600;22154;41,07;1,69;2
15;280;254;117;53;143;104;48;240;36;330;2;255;31;4543;3213;2;0;6;37;81;20;22;12;2;179;2;3;41;50;10;29900;25025;41,3;1,62;2
16;114;90;35;15;49;51;37;193;35;109;5;91;10;3906;2919;2;0;14;39;82;18;24;25;3;207;6;21;16;22;9;16521;24343;48,82;1,68;2
17;20;21;11;4;14;5;2;122;1;29;0;17;3;0;0;2;0;4;13;7;0;0;0;0;19;1;0;30;295;70;98171;20566;32,74;1,6;2
18;147;145;71;17;60;47;34;42;48;98;5;120;23;2925;1995;2;0;1;4;15;11;6;2;0;43;3;1;20;31;5;68336;22275;40,6;2,09;2
19;61;52;31;5;45;24;8;68;10;94;4;39;8;2449;1414;2;0;5;17;27;6;10;11;1;88;2;7;17;30;9;3027;20727;56,57;1,39;2
20;218;191;100;30;95;74;45;69;15;229;0;174;28;3967;2691;2;0;0;10;20;17;5;1;0;64;1;1;30;45;19;75000;22708;43,12;1,78;2
21;387;341;98;111;116;166;186;689;0;635;9;438;42;12237;9307;2;0;16;50;176;37;37;68;1;300;8;29;56;228;18;51200;26182;41,72;1,44;2
22;149;135;39;24;44;57;70;52;34;132;0;126;13;2169;1442;2;0;1;12;13;13;15;7;1;57;3;2;35;33;18;12100;28042;42,65;1,83;2
23;154;137;77;22;57;46;34;104;14;151;3;123;24;4222;3447;2;0;1;22;54;7;13;7;3;154;1;3;31;61;4;52700;21797;40,73;1,87;2
24;24;21;4;2;11;10;9;39;12;15;0;26;1;1004;716;2;0;0;0;7;5;0;3;0;4;0;2;8;32;4;10540;29751;33,07;2,02;2
25;198;171;47;48;40;83;118;317;0;217;4;182;15;4906;4056;2;0;6;31;59;16;8;30;0;73;7;19;27;144;15;32600;32899;44,44;1,9;2
26;107;88;19;17;19;39;60;30;17;105;0;98;9;1906;1310;2;0;1;5;9;16;8;3;0;22;1;2;23;48;4;48900;30104;40,28;1,97;2
27;128;122;58;20;51;45;33;128;14;147;0;106;20;6577;7031;2;0;0;14;16;8;11;1;2;73;1;0;38;69;5;125000;22179;41,1;1,77;2
29;22;21;12;2;22;7;3;5;11;23;1;22;4;1191;878;2;0;0;2;4;5;2;2;0;12;0;0;7;3;6;5367;17862;45,99;1,42;2
30;0;0;0;0;0;0;0;71;0;0;0;0;0;1139;512;2;0;0;0;0;0;0;0;0;1;0;0;0;6;1;23922;0;0;0;2
31;0;0;0;0;0;0;0;12;1;0;1;0;0;1049;759;2;0;0;0;0;1;0;0;0;0;0;0;4;6;0;2406;0;50;0;2
32;347;339;102;104;118;154;155;949;0;570;1;402;44;3591;2059;2;0;6;56;142;31;18;45;1;207;5;4;49;108;21;51200;24349;39,23;1,48;2
33;72;56;24;7;39;28;11;101;19;71;4;47;6;1585;1001;2;0;4;26;75;14;26;34;0;148;4;1;22;30;2;;20513;51,52;1,5;2
34;6;5;2;1;2;2;3;7;6;3;1;8;1;647;664;2;0;2;1;7;0;0;2;0;7;0;2;2;4;0;758;23639;42,54;1,96;2
35;1;1;0;0;0;0;0;0;2;0;0;0;0;415;388;2;0;3;0;0;0;0;2;0;0;0;1;2;2;0;361;0;44,5;0;2
36;232;212;66;67;88;95;84;193;2;329;1;250;27;3508;2304;2;0;4;16;27;13;1;17;2;69;4;7;23;176;25;45000;23884;37,43;1,67;2
37;53;56;21;6;27;22;11;77;35;12;0;48;4;691;381;2;0;0;8;2;2;1;1;0;26;2;0;24;55;10;68336;26819;41,9;2,41;2
38;0;0;0;0;0;0;0;66;0;0;0;0;0;478;0;2;0;0;6;0;0;0;0;0;7;0;0;0;2;0;10573;0;0;0;2
39;66;54;29;6;31;28;15;63;17;80;7;42;4;1053;825;2;0;8;24;34;7;16;9;0;82;2;10;13;11;3;10318;20956;54,14;1,55;2
40;66;68;22;17;48;26;9;77;1;110;0;56;9;1268;712;2;0;0;2;8;4;1;2;0;18;0;0;17;35;9;;18697;43,53;1,44;2
41;25;25;6;4;14;10;8;84;20;0;0;29;2;2898;2001;2;0;0;5;2;0;1;0;0;12;0;0;19;501;54;59758;32265;40,42;2,53;2
42;72;65;37;11;34;36;28;943;3;99;3;76;10;5742;1328;2;0;2;34;20;4;5;6;0;84;4;0;21;88;3;32600;24379;42,71;1,85;2
43;7;6;4;0;3;1;0;56;1;5;0;2;1;762;435;2;0;0;4;1;0;0;0;0;12;0;0;1;6;0;3564;17212;37,45;2,04;2
44;49;34;27;3;32;20;6;80;10;62;2;24;5;1582;971;2;0;5;20;32;17;18;8;1;83;2;20;7;4;1;;19031;60,58;1,31;2
45;518;491;161;171;182;228;219;1080;0;864;2;619;80;11255;7750;2;0;12;64;229;52;42;86;1;385;7;13;54;158;25;51200;23757;40,01;1,35;2
46;269;231;51;63;65;106;125;154;14;295;0;248;17;3849;2537;2;0;1;14;22;20;4;9;0;74;1;6;23;51;13;45000;28374;37,87;1,91;2
47;78;77;34;8;37;26;18;98;26;66;1;75;8;2056;1220;2;0;1;11;7;7;4;0;0;37;1;0;36;32;5;28900;25285;39,94;1,99;2
48;100;96;44;16;32;38;34;1273;0;109;0;96;12;5706;2942;2;0;4;29;43;13;18;37;2;76;11;7;14;422;12;57500;26315;42,39;1,91;2
49;187;150;61;39;99;77;34;323;4;257;8;129;16;2786;1814;2;0;9;34;124;17;32;29;4;231;4;14;21;47;3;;20935;48,3;1,43;2
50;3;4;0;0;3;2;1;6;2;3;0;4;0;1471;1231;2;0;0;1;2;1;1;0;0;1;0;0;7;3;1;8381;22937;42,6;3;2
51;117;101;32;20;36;53;50;628;0;144;0;120;9;4506;2252;2;0;4;12;16;6;8;1;0;35;4;3;28;233;10;44400;25727;42,95;1,73;2
52;422;368;85;123;73;167;251;382;0;555;12;423;32;9374;5331;2;0;13;42;90;34;48;55;0;273;6;26;34;438;16;57500;30516;41,54;1,69;2
53;48;40;16;9;28;21;8;68;14;46;1;35;6;2395;1394;2;0;1;1;3;4;2;1;0;13;0;3;13;45;10;8718;18967;46,98;1,48;2
